,err_rate,clean_error,mCE,RmCE,result
blur,57.284969329833984,20.299999999999997,57.28496702093827,58.296791076660156,"{'glass_blur': {'err': 73.96720123291016, 'by_diff': [40.595999360084534, 56.894004344940186, 86.40599846839905, 91.37600064277649, 94.56400275230408]}, 'zoom_blur': {'err': 75.45800018310547, 'by_diff': [56.53799772262573, 69.00399923324585, 77.6360034942627, 84.38400030136108, 89.72799777984619]}, 'motion_blur': {'err': 63.92959213256836, 'by_diff': [35.04599630832672, 46.82599902153015, 65.03199934959412, 82.53799676895142, 90.20600318908691]}, 'defocus_blur': {'err': 69.91199493408203, 'by_diff': [38.5640025138855, 51.367998123168945, 75.25399923324585, 88.85999917984009, 95.51399946212769]}}"
digital,57.284969329833984,20.299999999999997,57.28496702093827,58.296791076660156,"{'elastic_transform': {'err': 51.21599578857422, 'by_diff': [31.981998682022095, 54.97199892997742, 39.1899973154068, 51.60999894142151, 78.32599878311157]}, 'pixelate': {'err': 54.3223991394043, 'by_diff': [34.105998277664185, 40.455999970436096, 46.38599753379822, 62.393999099731445, 88.27000260353088]}, 'jpeg_compression': {'err': 50.541603088378906, 'by_diff': [37.480002641677856, 42.44999587535858, 45.99200189113617, 57.05200433731079, 69.73400115966797]}, 'contrast': {'err': 74.70680236816406, 'by_diff': [44.30800378322601, 55.65999746322632, 75.88800191879272, 97.8600025177002, 99.81800317764282]}}"
extra,57.284969329833984,20.299999999999997,57.28496702093827,58.296791076660156,"{'spatter': {'err': 41.31879806518555, 'by_diff': [27.49999761581421, 34.43400263786316, 42.4019992351532, 45.61000168323517, 56.64800405502319]}, 'saturate': {'err': 32.3223991394043, 'by_diff': [31.12800121307373, 32.20999836921692, 26.447999477386475, 32.231998443603516, 39.594000577926636]}, 'speckle_noise': {'err': 49.54399871826172, 'by_diff': [32.73400068283081, 36.78799867630005, 49.9779999256134, 58.63400101661682, 69.58600878715515]}, 'gaussian_blur': {'err': 62.96879577636719, 'by_diff': [29.071998596191406, 38.72600197792053, 64.86799716949463, 85.15599966049194, 97.02199697494507]}}"
noise,57.284969329833984,20.299999999999997,57.28496702093827,58.296791076660156,"{'gaussian_noise': {'err': 55.220394134521484, 'by_diff': [33.76399874687195, 40.67800045013428, 51.53000354766846, 65.99199771881104, 84.13800001144409]}, 'impulse_noise': {'err': 60.92520523071289, 'by_diff': [40.31199514865875, 49.5199978351593, 56.713998317718506, 71.99200391769409, 86.08800768852234]}, 'shot_noise': {'err': 57.1443977355957, 'by_diff': [34.4539999961853, 42.47000217437744, 53.26399803161621, 71.8019962310791, 83.73199701309204]}}"
weather,57.284969329833984,20.299999999999997,57.28496702093827,58.296791076660156,"{'frost': {'err': 56.021995544433594, 'by_diff': [33.775997161865234, 49.15999472141266, 61.36200428009033, 64.23200368881226, 71.58000469207764]}, 'fog': {'err': 69.73999786376953, 'by_diff': [51.980000734329224, 62.38600015640259, 73.09600114822388, 75.14799237251282, 86.08999848365784]}, 'snow': {'err': 59.45680236816406, 'by_diff': [40.16200006008148, 59.42000150680542, 56.18399977684021, 65.90200066566467, 75.6160020828247]}, 'brightness': {'err': 29.697999954223633, 'by_diff': [25.937998294830322, 26.653999090194702, 28.4060001373291, 31.348001956939697, 36.14400029182434]}}"
